AAL,592
DAL,461
SWA,433
UAL,420
JBU,258
AFR,215
RYR,210
USA,206
XMS,201
EGF,197
THY,192
DLH,189
EZY,170
CPA,150
UAE,147
CES,132
JZA,114
WJA,113
CSN,112
QTR,111
IGO,104
NKS,102
ACA,98
CCA,93
QFA,88
ANA,88
JST,86
SAS,85
ETD,85
JAL,84
KLM,82
LAN,81
ASA,80
VOZ,78
AZA,70
AIC,68
MAS,64
GIA,63
VRD,63
HDA,63
SIA,62
MTF,60
VOI,59
THA,55
HVN,54
CAL,54
KAL,54
AXM,51
WZZ,49
CEB,47
EVA,46
AUA,45
CHH,45
BER,44
AAR,43
CSZ,43
EIN,42
AIQ,42
CSC,40
